# Version:            COMSOL 5.3.1.275
# Table:              Probe Table 4 - 
# Time (h)               <T> Ice Region (K)	 Icy Patch<CosZ>, CosZ    <T>_floor (K), Floor     COSZ_floor
0			190.74616937481832	0.35412856981169455	192.22565685800134	0.7282507985931682
1.0765566017955581	185.47239966080238	0.2454537365874344	195.0194606180442	0.5763414034284835
2.1531132035911162	176.33195476691563	0.0431633892059489	186.12718776639554	0.13242083805377972
4.090915086823121	162.5683535048624	0			169.53174143307982	0
6.028716970055125	152.18842217146235	0.0023246491807453447	157.26194848573792	0
7.234367759304318	151.62740466783092	0.161765288203165	156.59099432006713	0.18289539590824125
8.44001854855351	156.7009868208446	0.3388088808205704	169.82366093457372	0.6401011282215895
9.645669337802703	160.37252068878172	0.31582087092985195	181.71388028888333	0.6934795158795701
10.851320127051897	157.2380152955066	0.10885743146157846	180.12242973786147	0.3079393043484789
12.05697091630109	151.12862238379938	0			169.86483127319096	0
13.262621705550284	145.7759396522837	0			161.37788813793853	0
15.67392328404867	139.9410477193157	0.04394474403944478	149.19456863481443	0
16.912739576621767	144.72782185157143	0.27078564411949907	158.23152926705183	0.4483266105778058
18.15155586919487	151.61708397469846	0.354040796695234	173.99964385788905	0.7283734863057622
19.390372161767967	153.21424334259808	0.21626173446586616	180.3127955226327	0.5223989480633844
20.629188454341065	147.97627226757737	0.00879905455450865	170.55867288090428	0.018737628781319564
21.86800474691416	142.98099982193722	0			161.77595760396736	0
24.34563733206036	135.55709152977803	0.008657150315453768	149.16426501663184	0
25.588134428900876	138.66899565980103	0.20240679817798798	152.83637361263752	0.27878788261720155
26.830631525741392	146.3753578493988	0.3519021109098764	168.62440074131774	0.6890450238718469
28.073128622581912	150.81217848649806	0.2806177111628468	179.49358822278123	0.6379281403157168
29.315625719422428	147.32829529677886	0.05202162988537724	174.11273541425658	0.16099718154799494
30.43387310657889	142.88730131240882	0			165.475541158102	0
31.552120493735355	138.88256186614558	0			158.21277450320122	0
33.78861526804829	134.54424745301978	0.03986125808448437	147.43280619474567	0
34.96410671458597	139.31948552301756	0.255674123585492	155.19148617663123	0.4097082979528986
36.139598161123644	146.71626292446922	0.35606676655116104	170.64569237896046	0.7186563555526547
37.31508960766133	150.13653775175806	0.25494125193740014	179.39459175745895	0.5933780803501311
38.490581054199		146.45559555578646	0.03744207361682852	172.86312911607624	0.11239081489541915
39.54852335608291	142.32461081612405	0			164.80733925848662	0
41.664407959850735	135.4590289141148	0			152.8532363026089	0
43.78029256361855	140.86146604866448	0.21071209447543457	158.4944815968207	0.29876315311998447
45.39044068136882	150.21422169779515	0.3535975847788336	177.68806434611128	0.7288979191580284
47.00058879911909	149.4871893085351	0.13929641361019954	179.21941793231082	0.3719333164048273
48.37538557078877	143.9206834698731	0			168.10278317307953	0
49.750182342458444	138.97771586438745	0			158.98383186098		0
51.4828822335074	133.88789178368108	0.005011927177878941	149.94320693682698	0
53.215582124556356	141.4064851835475	0.27181636650745145	161.64464425286505	0.4509914543372972
54.49200637092905	148.97460092457115	0.35278031521226305	177.01474568066035	0.7295475423509178
55.76843061730173	150.5481499088142	0.20090485542786496	181.8763761140899	0.49323756324630896
57.04485486367442	145.35001980625339	0.0024987953043846146	171.0171730558757	0.002089432863061097
58.321279110047115	140.5666196147039	0			161.90908400475405	0
60.87412760279249	134.51630170859238	0.025248785428929204	149.0244299357999	0
62.13513815654062	139.32729439150424	0.2473004644833545	156.3015149939761	0.3886358761419413
63.39614871028875	147.2168703656127	0.3559626969018029	172.53222286155912	0.7214798690275324
64.65715926403688	150.1274170160245	0.23473884203975084	180.26213169023407	0.5567912518984867
65.918169817785		145.47038830114676	0.014815927464129413	170.9252742329666	0.03589285757913952
67.05307931615832	141.16664646471904	0			162.69478392122105	0
69.32289831290494	134.10773106377133	0			150.6261882219721	0
70.58998897244769	134.93320167521014	0.12783033096053778	148.45034048368677	0.10532890796689605
71.85707963199043	142.5407126796771	0.3308081686833185	163.02970895522265	0.6145469065862499
72.9974612255789	148.66931059927546	0.3318467546351769	176.4500783080036	0.7147942278559855
74.13784281916737	148.83605024103724	0.15693497847448878	178.72405487590748	0.4073082416774652
75.27822441275585	144.2509375053154	5.522367819813267E-4	169.25668608822247	0
76.4186060063443	140.04824389350452	0			161.25725908833266	0
78.69936919352125	133.4498262646463	0.004796958947099719	149.50807668506357	0
79.91095199801204	135.96966431263064	0.17883212300579124	151.28177192048514	0.22281165415778018
81.12253480250283	143.62188278294676	0.3447208395791243	166.18971518030543	0.660469033980054
82.33411760699362	149.10261039504311	0.30479918453917937	178.4885439412022	0.6770376156578992
83.5457004114844	147.06833456751576	0.08807638479388039	176.29438919769177	0.26152404718099964
84.6361249355261	142.7856359364366	0			167.49600022822673	0
85.7265494595678	138.89222257825347	0			160.06541705221883	0
87.90739850765124	133.06276408668845	0.010932200926854187	148.99241628882135	0
89.0828061618316	136.16662531567917	0.1979553465134911	152.18275847734276	0.2681385014722972
90.25821381601197	143.70532445413815	0.3480527150852427	166.9237963662519	0.6729247062050939
91.43362147019235	148.94257872216		0.30168112939411074	178.64369537578054	0.672201181335347
92.60902912437273	147.04578267544545	0.09018384599472169	176.58753853758526	0.2664213303224952
93.7844367785531	142.46943512413745	0			167.17992262589027	0
94.95984443273346	138.33792608800388	0			159.3180418341681	0
97.31065974109421	133.96050030632594	0.04032223173900055	147.84786850673964	0
98.51956300570492	139.12663705850565	0.2616528466871658	156.19096279562524	0.4248908911944051
99.72846627031564	146.73284837374777	0.3556549891305294	171.94479165448487	0.7240185465401827
