# Version:            COMSOL 5.3.1.275
# Date:               Jul 26 2018, 11:57
# Table:              Probe Table 4 - 
# Time (h)               <T> Ice Region (K)	 Icy Patch<CosZ>	 <T>_floor (K), Floor     COSZ_floor
0			191.02949563798262	0.2833946088693549	193.4823905702549	0.6753216696224137
0.008683834334946041	188.79757856373087	0.2831768605201731	199.7285744776985	0.6756137675095778
0.017367668669892082	187.25204216464437	0.28294756546866495	204.18641867567092	0.6758804594537297
0.034735337339784164	185.13545588254883	0.28245436883769376	210.27182771803072	0.6763375878615493
0.052103006009676246	184.06975697253785	0.2819150903044519	213.2392989281888	0.6766929887341874
0.08683834334946042	183.04827074449912	0.2806986061546282	215.72481530261894	0.6770984169957822
0.15630901802902875	182.49032028741422	0.27771653175631345	216.11122019726756	0.6766872679758409
0.22577969270859707	181.84879386780378	0.27400824149295955	216.43665751759318	0.6746479636133736
0.36472104206773376	180.394758153292	0.26444899113269793	216.50295911771929	0.665707517029151
0.6426037407860071	176.5247507480044	0.23710319993696216	214.47208150782666	0.6287466620566505
0.9204864395042804	171.06318090395496	0.1996705675679467	210.07750563077732	0.5675800797324041
1.476251836940827	154.26610855740998	0.1025404365935616	193.50541390438968	0.3824704883224142
1.9764406946337192	137.08004956006928	0.028290659295789215	167.10058470685615	0.16367813574321807
2.426610666557322	125.88618409614686	0			138.21509062220645	0.009199625530584518
2.831763641288565	120.95831049247089	0			128.36552646205703	0
3.196401318546683	118.01978320264176	0			123.64507414985984	0
3.561038995804801	115.7912932242405	0			120.37534333588906	0
3.9256766730629193	113.98054288418217	0			117.86144018868286	0
4.6549520275791565	111.2692149627163	0			114.3207900437141	0
5.384227382095393	109.10768469032824	0			111.60989494113032	0
5.748865059353511	108.14100786333273	0			110.41456058725599	0
5.93118389798257	107.72108340628557	0			109.87566648724334	0
6.295821575240689	107.50207779652297	7.306095865373531E-4	109.1158230529716	0
6.660459252498807	111.10599790538613	0.015474947256769395	108.82568728482818	0
6.883389448045622	116.17742402726108	0.036744280664268276	111.58385180523031	0.012329214841640537
7.106319643592438	124.05212434742843	0.06844328596851869	123.94778864112895	0.07383930747279024
7.306956819584571	133.14920518615577	0.10571827271704104	141.87105464109524	0.16429331005293937
7.507593995576705	142.6865950160232	0.1443038998573869	159.52354900909532	0.25630039211514044
7.708231171568839	151.36578780212213	0.17941159653598626	174.25024763944012	0.3428471346465327
7.908868347560973	158.7387815565019	0.2103648302132251	185.9470984764596	0.42226576410856337
8.109505523553107	164.72309664293374	0.23656712570644603	195.12555381664419	0.4930258671683797
8.510779875537374	172.69824361600286	0.2728004891747858	207.64383476243245	0.603309374793235
8.912054227521642	176.33641454309546	0.2853322443871101	214.37143434279537	0.6652378667442201
9.31332857950591	176.01933537487278	0.27320108688868994	216.2177311558476	0.6740608404637269
10.115877283474443	164.08879401878056	0.18049282835973599	206.50630747472084	0.5338086244522076
10.918425987442978	137.97906235044047	0.04423655978010474	174.6974060472981	0.22476213390862626
11.119063163435111	130.80608173852752	0.020878339982692142	161.7721400641665	0.13126415239299138
11.520337515419378	120.73709957863923	0			136.52955468086554	0.0061886140793618195
11.881484432205218	115.83174187447094	0			126.04312028890833	0
12.242631348991058	112.81248727649425	0			120.97638175209389	0
12.603778265776898	110.6234666954129	0			117.58657181245144	0
12.964925182562737	108.9070816580141	0			115.01013332673679	0
13.326072099348577	107.50078251072492	0			112.97389050758734	0
14.048365932920259	105.2105812754035	0			109.74059015219935	0
14.77065976649194	103.45501800455528	0			107.3461718379029	0
15.131806683277778	102.85305570869508	0			106.4612926913514	0
15.3123801416707	102.74762422402246	2.5719878876328216E-4	106.12474156623949	0
15.67352705845654	105.18677373765557	0.010959574460661115	105.7883780988178	0
16.03467397524238	114.06024177788146	0.04658671564787138	112.06739807860465	0.02832675187759847
16.354283795520118	127.84921555744563	0.10040166684844214	136.14147027573415	0.15174449170816398
16.673893615797855	143.5890873049904	0.16092915403433464	164.38842286866446	0.29689652526193594
16.993503436075596	156.91633768045457	0.2118778246366688	185.70743344615704	0.42624660710210616
17.313113256353333	166.36398870013207	0.25072666744561256	199.40065687504267	0.53348522448383
17.632723076631073	172.36233096473913	0.2755806912455555	208.40040537509117	0.6133814304027889
17.95233289690881	175.44164039713067	0.28522755215781237	213.78768687856726	0.662038001739066
18.59155253746429	173.96236125367508	0.2577822817798683	215.39617675985428	0.6577782435542725
19.230772178019766	162.32600000163276	0.1736805192062383	205.29220093641405	0.5215269542226878
19.86999181857524	141.06368710783752	0.06155078832832767	181.22915682401597	0.27954451958035637
20.509211459130718	121.6906105045421	0.0010472989946120484	140.45154405012912	0.01995102993825626
21.08450913563065	113.50941566846497	0			124.19494008518573	0
21.595575792257044	109.675689879724	0			117.77993371944964	0
22.106642448883438	107.10017950055409	0			113.91648171266125	0
22.61770910550983	105.1527700031058	0			111.08362306907514	0
23.128775762136225	103.60458456438622	0			108.90141999052912	0
24.150909075389016	101.32416835483839	0			105.61850827162594	0
24.40644240370221	101.17524874434717	4.207764326543687E-4	105.11134174142889	0
24.53420906785881	101.37661725710507	0.001719683863290787	104.93458003407639	0
24.78974239617201	104.07091988456062	0.01409302535564755	104.77788645946535	0
25.045275724485204	110.20536203777476	0.038329001843991434	107.88333562138396	0.014846495167255424
25.300809052798403	120.16033461894999	0.07635706681295165	122.90444034122338	0.09242141317240705
25.5563423811116	133.0302560122033	0.1256060805537107	146.9620001449124	0.2113602709275708
25.811875709424797	145.7050207365108	0.1719853846182278	169.07202502556484	0.3242711955554644
